LON,LAT,EDO,CLAVE,ESTACION,ene-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0.01
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0.30
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.00
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",0.00
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",0.01
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0.02
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",0.00
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0.00
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0.10
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0.00
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0.00
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.00
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",1.20
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0.30
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0.10
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0.00
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0.00
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0.60
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0.01
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0.00
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",0.00
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",1.60
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",0.00
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",74.40
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",12.41
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",14.60
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",85.91
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",76.11
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",34.70
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",2.54
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",73.06
-115.376111,32.625833,BC,MEXICALIob,"Mexicali Observatorio, B.C. SMN*",20.83
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",31.51
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",20.51
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.90
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",10.40
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",30.03
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",42.61
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",39.82
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",71.40
-111.353889,26.009722,BCS,BLORETO,"Bahía de Loreto, B.C.S. SMN*",0.00
