LON,LAT,EDO,CLAVE,ESTACION,feb-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",35.7
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",39.4
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",37.31
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",31.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",31.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",31.21
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",31.8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",31.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",24.6
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",32.01
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",28.01
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",42.02
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",28.82
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",90.9
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",24.99
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",8.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",88.2
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",87.2
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",96.4
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",2.5
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",6.86
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",4
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",17.51
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",9
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",129
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa SMN, B.C.",131.58
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",1.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",86.2
-111.353889,26.009722,BCS,BLORETO,"Bahía de Loreto, B.C.S. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.2
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.03
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",10.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",9.54
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",1.5
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0.254
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.03
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.02
