LON,LAT,EDO,CLAVE,ESTACION,jul-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",219.72
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",176.51
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",198.22
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",261.53
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",227.91
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",156.61
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",151.89
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",357.61
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",206.71
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",157.22
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",110.16
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",136.02
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",11.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",4.81
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.02
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",6.09
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.04
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.01
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",4.01
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",1.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",4.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.51
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",26.81
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",2.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.01
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.03
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",131.9
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",88.05
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",113.8
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",125.7
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",94.51
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",152
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",290.3
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",147.51
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",105.74
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",100
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",137.6
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",69
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",105
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",231
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",116.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",145.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",100
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",68.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",146
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",17.63
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",128.63
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",24.5
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",57
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",219.65
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",241.92
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",45.54
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",165.52
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",151.5
