LON,LAT,EDO,CLAVE,ESTACION,sep-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",182.01
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",139.61
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",173.81
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",152.02
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",132.11
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",114.63
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",134.52
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",110.83
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",67
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",143.2
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",97.6
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",220.62
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",63.7
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fría, Ags. SMN*",84.8
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.02
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.26
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",14.5
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",12.6
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",120
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo Diaz Ordaz, B.C.S. SMN*",0.4
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.02
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",80.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",2.31
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",54
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",140.42
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",97.3
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",39.51
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",101.5
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",169
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",45.8
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",104.5
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",20
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",181
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",273.61
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",114.13
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",15.49
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",154.53
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",202.62
